USDA Certificate Type	cert_num	cert_status	name	dba	cust_num	city	state
FEDERAL RESEARCH FACILITY	10-F-0002	ACTIVE	WALTER REED ARMY INSTITUTE OF RESEARCH		439	SILVER SPRING	MD
FEDERAL RESEARCH FACILITY	10-F-0008	ACTIVE	US DEPARTMENT OF THE INTERIOR	U.S GEOLOGICAL SURVEY	431	RESTON	VA
FEDERAL RESEARCH FACILITY	10-F-0010	ACTIVE	US GOVERNMENT SMITHSONIAN INSTITUTION	NATIONAL ZOOLOGICAL PARK	20133	WASHINGTON	DC
FEDERAL RESEARCH FACILITY	10-F-0011	ACTIVE	UNITED STATES DEPARTMENT OF INTERIOR	NATIONAL PARK SERVICE	322827	WASHINGTON	DC
FEDERAL RESEARCH FACILITY	14-F-0002	ACTIVE	U.S.ARMY RSCH INST OF ENVIOR MED		446	NATICK	MA
FEDERAL RESEARCH FACILITY	14-F-0010	ACTIVE	NATIONAL MARINE FISHERIES SERVICE AQUARIUM		645	WOODS HOLE	MA
FEDERAL RESEARCH FACILITY	31-F-0002	ACTIVE	OPERATIONAL TOXICOLOGY BRANCH	AIR FORCE RESEARCH LABORATORY	442	WRIGHT-PATTERSON AFB	OH
FEDERAL RESEARCH FACILITY	31-F-0003	ACTIVE	U.S. ENVIRONMENTAL PROTECTION AGENCY	NATIONAL EXPOSURE RESEARCH LAB	451	CINCINNATI	OH
FEDERAL RESEARCH FACILITY	42-F-0004	ACTIVE	NATIONAL VETERINARY SERVICES LABORATORY		1586	AMES	IA
FEDERAL RESEARCH FACILITY	42-F-0008	ACTIVE	CVB-VS-APHIS-USDA		1726	AMES	IA
FEDERAL RESEARCH FACILITY	51-F-0001	ACTIVE	UNIFORMED SERVICES UNIVERSITY OF HEALTH SCIENCES	CLAM	432	BETHESDA	MD
FEDERAL RESEARCH FACILITY	51-F-0003	ACTIVE	ARMED FORCES RADIOBIOLOGY RESEARCH INST.		443	BETHESDA	MD
FEDERAL RESEARCH FACILITY	51-F-0005	ACTIVE	US ARMY PUBLIC HEALTH COMMAND		436	ABERDEEN PROV GRND	MD
FEDERAL RESEARCH FACILITY	51-F-0006	ACTIVE	US ARMY MED RESEARCH INST OF CHEMICAL DEFENSE		437	ABERDEEN PROV GRND	MD
FEDERAL RESEARCH FACILITY	51-F-0008	ACTIVE	NATIONAL CANCER INSTITUTE AT FREDERICK		438	FREDERICK	MD
FEDERAL RESEARCH FACILITY	51-F-0016	ACTIVE	NATIONAL INSTITUTE OF HEALTH		441	BETHESDA	MD
FEDERAL RESEARCH FACILITY	51-F-0019	ACTIVE	US ARMY EDGEWOOD CHEMICAL BIOLOGICAL CTR		452	ABERDEEN PROV GRND	MD
FEDERAL RESEARCH FACILITY	51-F-0021	ACTIVE	US ARMY MED RESEARCH INST OF INFECTIOUS DISEASE		728	FREDERICK	MD
FEDERAL RESEARCH FACILITY	51-F-0024	ACTIVE	CENTER FOR BIOLOGICS EVALUATION & RESEARCH		12776	SILVER SPRING	MD
FEDERAL RESEARCH FACILITY	51-F-0025	ACTIVE	WHITE OAK ANIMAL PROGRAM		12780	SILVER SPRING	MD
FEDERAL RESEARCH FACILITY	51-F-0026	ACTIVE	CENTER FOR VETERINARY MEDICINE		12782	ROCKVILLE	MD
FEDERAL RESEARCH FACILITY	51-F-0029	ACTIVE	CENTER FOR FOOD SAFETY AND APPLIED NUTRITION		12784	COLLEGE PARK	MD
FEDERAL RESEARCH FACILITY	51-F-0030	ACTIVE	NIAID-MORGAN ISLAND		43416	BETHESDA	MD
FEDERAL RESEARCH FACILITY	51-F-0031	ACTIVE	BATTELLE NATIONAL BIODEFENSE INSTITUTE LLC	N B A C C 	326220	FORT DETRICK	MD
FEDERAL RESEARCH FACILITY	52-F-0004	ACTIVE	NAVAL MEDICAL CENTER		726	PORTSMOUTH	VA
FEDERAL RESEARCH FACILITY	52-F-0005	ACTIVE	DEFENSE SUPPLY CENTER - RICHMOND		323261	RICHMOND	VA
FEDERAL RESEARCH FACILITY	55-F-0001	ACTIVE	U S ENVIRONMENTAL PROTECTION AGENCY		962	RESEARCH TRIANGLE PA	NC
FEDERAL RESEARCH FACILITY	55-F-0007	ACTIVE	SPECIAL WARFARE MEDICAL GROUP (AIRBORN)		955	FORT BRAGG	NC
FEDERAL RESEARCH FACILITY	57-F-0003	ACTIVE	DEPT CLINICAL INVESTIGATION		948	FORT GORDON	GA
FEDERAL RESEARCH FACILITY	57-F-0004	ACTIVE	CTR FOR DISEASE CNTL & PREV		947	ATLANTA	GA
FEDERAL RESEARCH FACILITY	58-F-0009	ACTIVE	SPACE LIFE SCIENCES LAB SLSL		966	ORLANDO	FL
FEDERAL RESEARCH FACILITY	63-F-0001	ACTIVE	OAK RIDGE NATIONAL LABORATORY		965	OAK RIDGE	TN
FEDERAL RESEARCH FACILITY	65-F-0001	ACTIVE	81ST MEDICAL GROUP	81 M D S S / S G S E	963	KEESLER AFB	MS
FEDERAL RESEARCH FACILITY	71-F-0002	ACTIVE	F.D.A./N.C.T.R.		1431	JEFFERSON	AR
FEDERAL RESEARCH FACILITY	72-F-0004	ACTIVE	NATIONAL HANSENS DISEASE		1385	BATON ROUGE	LA
FEDERAL RESEARCH FACILITY	74-F-0001	ACTIVE	AIR FORCE RESEARCH LAB		1433	FORT SAM HOUSTON	TX
FEDERAL RESEARCH FACILITY	74-F-0002	ACTIVE	U S ARMY MEDICAL DEPT. CTR. & SCHOOL		1429	JBSA-FORT SAM HOUSTON	TX
FEDERAL RESEARCH FACILITY	74-F-0003	ACTIVE	WILFORD HALL U S A F AMBULATORY SURGICAL CENTER		1386	LACKLAND AFB	TX
FEDERAL RESEARCH FACILITY	74-F-0006	ACTIVE	WM. BEAUMONT ARMY MED CTR		1369	EL PASO	TX
FEDERAL RESEARCH FACILITY	74-F-0010	ACTIVE	BAMC/USAISR		1432	FORT SAM HOUSTON	TX
FEDERAL RESEARCH FACILITY	74-F-0024	ACTIVE	DANIEL E HOLLAND MILITARY WORKING DOG HOSPITAL		39889	LACKLAND AFB	TX
FEDERAL RESEARCH FACILITY	84-F-0001	ACTIVE	U S DA, A P H I S, W S, N W R C		1209	FORT COLLINS	CO
